Date,Wind_proj
2019-11-01,26.006902846472933
2019-12-01,27.382452251355225
2020-01-01,28.525232658872664
2020-02-01,26.147923415987083
2020-03-01,29.212858345291497
2020-04-01,31.544000529974106
2020-05-01,28.027235383926303
2020-06-01,26.4736582677233
2020-07-01,22.614564030828284
2020-08-01,23.21787666178176
2020-09-01,22.395301859251884
2020-10-01,25.578346259249905
2020-11-01,27.309187435027727
2020-12-01,29.076505072887077
2021-01-01,29.901761571233365
2021-02-01,27.627576296614976
2021-03-01,30.66159222710019
2021-04-01,33.72068058232889
2021-05-01,30.11650085969841
2021-06-01,27.96388844888135
2021-07-01,25.262046285460226
2021-08-01,25.11625589974101
2021-09-01,24.481793006188187
2021-10-01,27.669448840224483
2021-11-01,29.508781077641252
2021-12-01,31.121497037849544
2022-01-01,32.07205652127746
2022-02-01,29.757175914168762
2022-03-01,32.80339326551042
2022-04-01,35.57521560544513
2022-05-01,32.00553189104927
2022-06-01,30.08931399546835
2022-07-01,26.930790822806987
2022-08-01,27.080615480275426
2022-09-01,26.371918858038182
2022-10-01,29.557754903284362
2022-11-01,31.35427381708868
2022-12-01,33.027999519079486
2023-01-01,33.92911126765383
2023-02-01,31.630290070538024
2023-03-01,34.671692431854076
2023-04-01,37.5568772247858
2023-05-01,33.97358051092643
2023-06-01,31.96407534607078
2023-07-01,28.98577007837685
2023-08-01,29.01893754475962
2023-09-01,28.33953543398823
2023-10-01,31.52608961403004
2023-11-01,33.339503750823745
2023-12-01,34.989153461862045
2024-01-01,35.909778540310825
2024-02-01,33.604619892840454
2024-03-01,36.64792237130019
2024-04-01,39.488371466079975
2024-05-01,35.91044678695382
2024-06-01,33.93775514376571
2024-07-01,30.888331321514666
2024-08-01,30.967534673234162
2024-09-01,30.27657220550332
2024-10-01,33.46284299134714
2024-11-01,35.269589844786594
2024-12-01,36.92874055227906
2025-01-01,37.841665176017095
2025-02-01,35.53900744713678
2025-03-01,38.581560091195925
2025-04-01,41.43966302669838
2025-05-01,37.85961840646357
2025-06-01,35.87239921425292
2025-07-01,32.851040576774764
2025-08-01,32.912077000943434
2025-09-01,32.22567654317086
2025-10-01,35.4120591635504
2025-11-01,37.2214370960442
2025-12-01,38.876838469446945
2026-01-01,39.792801887851695
2026-02-01,37.48915723308729
2026-03-01,40.53200578081226
2026-04-01,43.38314206316888
2026-05-01,39.803934025444676
